epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.9611,1.90295,2.67411,1.91378,0.03437,0.18103,0.01936,0.00688,2.23535,14.1298,2.87333,0.000661654,0.000661654,0.000661654
2,66.8974,2.11067,2.51626,1.99384,0.12125,0.13506,0.05659,0.01787,2.29428,5.98771,2.28824,0.00119682,0.00119682,0.00119682
3,100.182,2.05665,2.37995,2.02341,0.2767,0.21264,0.13267,0.04519,2.24463,4.83408,2.41513,0.00159998,0.00159998,0.00159998
4,133.441,2.03963,2.23664,1.95816,0.3094,0.16954,0.14532,0.0589,2.49532,3.02284,2.45199,0.001406,0.001406,0.001406
5,165.984,1.92968,2.17686,1.88406,0.30082,0.26149,0.22893,0.0965,2.04691,2.548,2.12474,0.001208,0.001208,0.001208
6,198.295,1.79212,2.0039,1.81095,0.3779,0.3592,0.31662,0.14677,1.93125,2.17857,1.93695,0.00101,0.00101,0.00101
7,231.023,1.77583,1.87067,1.76833,0.57496,0.41379,0.46409,0.2496,1.64921,1.80058,1.71156,0.000812,0.000812,0.000812
8,264.26,1.66157,1.75557,1.69594,0.52749,0.43103,0.45532,0.24429,1.65773,1.92371,1.71941,0.000614,0.000614,0.000614
9,297.74,1.58911,1.66319,1.62777,0.69496,0.50575,0.57226,0.31248,1.5946,1.59061,1.66477,0.000416,0.000416,0.000416
10,330.795,1.52311,1.52096,1.56639,0.66266,0.52586,0.60626,0.34458,1.49853,1.52998,1.54692,0.000218,0.000218,0.000218
