epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.2466,1.75819,1.77919,1.70787,0.48171,0.36494,0.37021,0.18963,1.84364,2.06925,1.80118,0.000661654,0.000661654,0.000661654
2,70.8986,1.80926,1.86076,1.73902,0.23331,0.18966,0.13046,0.05334,2.31411,2.9277,2.27063,0.00131517,0.00131517,0.00131517
3,103.52,1.79838,1.95997,1.74894,0.52117,0.31897,0.34869,0.16664,1.88427,2.27315,1.93723,0.00195549,0.00195549,0.00195549
4,135.392,1.84114,1.96244,1.77883,0.05604,0.40517,0.03767,0.01581,2.14525,21.6729,2.80978,0.0019406,0.0019406,0.0019406
5,168.27,1.73694,1.87011,1.69137,0.50697,0.36345,0.41652,0.21166,1.72594,2.09994,1.82412,0.0019208,0.0019208,0.0019208
6,200.786,1.70541,1.83073,1.69322,0.48401,0.51437,0.47557,0.2443,1.63542,1.74939,1.63927,0.001901,0.001901,0.001901
7,233.276,1.71051,1.80534,1.67258,0.45165,0.45115,0.41803,0.21572,1.68971,2.06841,1.71149,0.0018812,0.0018812,0.0018812
8,264.773,1.68607,1.70893,1.63471,0.54792,0.44231,0.46292,0.22768,1.73344,1.91298,1.76515,0.0018614,0.0018614,0.0018614
9,297.342,1.61111,1.74296,1.58875,0.57374,0.45977,0.48708,0.26788,1.58097,1.8515,1.64706,0.0018416,0.0018416,0.0018416
10,331.329,1.62282,1.68731,1.61352,0.60364,0.442,0.48674,0.25523,1.65353,1.78669,1.70624,0.0018218,0.0018218,0.0018218
11,366.172,1.67373,1.71379,1.60735,0.60335,0.38903,0.47487,0.24577,1.68683,1.84516,1.69722,0.001802,0.001802,0.001802
12,398.715,1.61009,1.59857,1.59128,0.52465,0.41379,0.43124,0.22751,1.72706,1.94773,1.7428,0.0017822,0.0017822,0.0017822
13,430.373,1.57108,1.59625,1.57236,0.5801,0.44253,0.49862,0.27345,1.66036,1.84183,1.73978,0.0017624,0.0017624,0.0017624
14,462.982,1.58354,1.65814,1.59246,0.55192,0.53161,0.5545,0.30272,1.52167,1.54595,1.54638,0.0017426,0.0017426,0.0017426
15,495.698,1.52979,1.53905,1.51403,0.66088,0.54319,0.61251,0.33872,1.51816,1.51087,1.56915,0.0017228,0.0017228,0.0017228
16,527.471,1.54415,1.52448,1.55207,0.60891,0.5431,0.59848,0.33236,1.48881,1.55665,1.55418,0.001703,0.001703,0.001703
17,559.442,1.52253,1.53378,1.53087,0.67528,0.51989,0.60292,0.31453,1.59062,1.50305,1.5936,0.0016832,0.0016832,0.0016832
18,592.29,1.56975,1.5325,1.55338,0.67221,0.5893,0.63322,0.34721,1.50516,1.41636,1.53436,0.0016634,0.0016634,0.0016634
19,624.986,1.50436,1.54336,1.50923,0.65853,0.49875,0.55645,0.30942,1.54652,1.69289,1.58581,0.0016436,0.0016436,0.0016436
20,657.696,1.53085,1.50912,1.52328,0.57664,0.58621,0.59777,0.33645,1.49939,1.65245,1.55954,0.0016238,0.0016238,0.0016238
21,688.899,1.49766,1.48202,1.49063,0.61839,0.57184,0.60744,0.34225,1.54203,1.53201,1.56712,0.001604,0.001604,0.001604
22,721.505,1.48123,1.43511,1.51855,0.6628,0.52874,0.59365,0.34454,1.48565,1.49309,1.56532,0.0015842,0.0015842,0.0015842
23,754.201,1.49092,1.43152,1.51442,0.60227,0.58308,0.63289,0.36654,1.43491,1.42027,1.49429,0.0015644,0.0015644,0.0015644
24,787.128,1.4639,1.43721,1.49204,0.64789,0.58691,0.63135,0.36682,1.47143,1.38535,1.51243,0.0015446,0.0015446,0.0015446
25,818.315,1.44826,1.38705,1.46477,0.64556,0.54598,0.60404,0.33188,1.56937,1.47454,1.58074,0.0015248,0.0015248,0.0015248
26,850.41,1.42621,1.35728,1.44187,0.70858,0.57991,0.63348,0.35925,1.49127,1.4589,1.51809,0.001505,0.001505,0.001505
27,884.124,1.42952,1.37571,1.45757,0.67929,0.56034,0.60409,0.33898,1.43761,1.47324,1.50597,0.0014852,0.0014852,0.0014852
28,916.732,1.42609,1.39259,1.46204,0.70187,0.62916,0.68386,0.40319,1.38796,1.32337,1.48607,0.0014654,0.0014654,0.0014654
29,947.787,1.42282,1.36473,1.45667,0.64333,0.56322,0.64866,0.38392,1.3894,1.36575,1.4808,0.0014456,0.0014456,0.0014456
30,979.932,1.4038,1.31649,1.44797,0.65495,0.54885,0.61211,0.36296,1.41978,1.4151,1.51547,0.0014258,0.0014258,0.0014258
31,1012.56,1.37517,1.32533,1.43472,0.75842,0.58046,0.68678,0.41056,1.38678,1.30598,1.45025,0.001406,0.001406,0.001406
32,1045.07,1.40167,1.28733,1.4313,0.7368,0.61494,0.68177,0.39214,1.42301,1.26972,1.47594,0.0013862,0.0013862,0.0013862
33,1076.43,1.40028,1.28051,1.43424,0.67785,0.58908,0.66775,0.38196,1.4595,1.34163,1.49956,0.0013664,0.0013664,0.0013664
34,1108.28,1.36372,1.29227,1.42491,0.63295,0.54508,0.6012,0.35132,1.4952,1.47426,1.55238,0.0013466,0.0013466,0.0013466
